app_id,source
51749949,src_candidate_required
51750686,control_other
51750688,src_candidate_required
51750697,src_candidate_required
51750865,src_today200
51751688,src_candidate_required|src_today200
51756273,src_candidate_required
51756941,control_puzzle
51758194,src_today200
51758929,src_candidate_required|src_growth200
51759258,src_growth200
51762489,control_puzzle
51762647,control_puzzle
51769348,src_candidate_required
51770359,src_growth200|src_today200
51772653,src_candidate_required
51772904,src_today200
51772983,src_candidate_required
51773566,src_candidate_required|src_today200
51776364,src_candidate_required
51777594,src_candidate_required
51778117,src_growth200|src_today200
51778258,src_candidate_required
51782729,src_today200
51792248,src_candidate_required
51795788,src_candidate_required
51797829,control_puzzle
51798384,src_candidate_required
51800243,src_candidate_required
51803632,src_candidate_required
51803831,src_candidate_required
51804572,src_candidate_required
51806512,control_other
51807037,src_candidate_required
51807678,src_candidate_required
51807679,src_candidate_required
51807883,src_candidate_required
51811752,control_other
51811760,src_candidate_required
51811762,src_candidate_required
51812942,src_candidate_required
51813860,src_candidate_required
51814444,src_candidate_required
51815168,src_candidate_required
51815327,src_candidate_required
51816680,src_growth200|src_week100
51816696,src_candidate_required
51817989,src_candidate_required
51819872,src_candidate_required|src_fresh_puzzle100|src_today200
51826702,src_growth200
51827396,control_other
51827412,src_candidate_required
51827891,src_candidate_required
51828189,src_candidate_required
51832085,src_candidate_required
51835525,src_candidate_required
51836847,src_candidate_required
51836857,src_candidate_required
51836858,src_candidate_required
51838091,src_candidate_required
51838833,src_candidate_required
51840164,src_candidate_required
51842056,src_candidate_required
51842114,src_candidate_required
51843834,src_candidate_required
51843951,control_other
51845941,src_candidate_required
51847375,control_puzzle
51847988,src_candidate_required
51855087,src_candidate_required
51858139,src_candidate_required
51859611,src_candidate_required
51859640,src_candidate_required
51859868,src_growth200
51860258,src_candidate_required
51860678,src_candidate_required
51863322,src_candidate_required
51863326,src_candidate_required
51863420,src_candidate_required
51866121,src_growth200
51866793,src_growth200
51868080,src_growth200
51869653,src_candidate_required
51871349,src_candidate_required
51871400,src_candidate_required
51871737,control_puzzle
51874967,src_candidate_required
51875817,src_candidate_required
51876511,src_candidate_required
51876744,src_candidate_required
51878676,src_candidate_required
51880018,src_candidate_required
51882580,src_candidate_required
51887530,src_candidate_required
51889455,src_candidate_required
51889943,src_candidate_required
51890747,src_candidate_required
51891603,src_candidate_required
51891725,control_other
51891841,src_candidate_required
51894780,src_candidate_required
51894859,control_puzzle
51895548,src_candidate_required
51895922,src_candidate_required
51896562,src_candidate_required
51900383,src_candidate_required
51900534,src_candidate_required
51901586,src_candidate_required
51903616,src_candidate_required
51906347,src_candidate_required
51911415,src_candidate_required
51912693,src_candidate_required
51913388,src_candidate_required
51913596,src_candidate_required
51914517,src_candidate_required
51915543,control_other
51915770,src_candidate_required
51916382,src_candidate_required
51916837,src_candidate_required
51918002,src_growth200
51918009,src_candidate_required
51918010,control_puzzle
51918012,src_growth200
51918262,control_puzzle
51918751,src_candidate_required|src_growth200
51919401,src_candidate_required
51919800,src_candidate_required
51921437,src_candidate_required
51922174,src_candidate_required
51924007,control_puzzle
51925376,control_other
51926565,src_candidate_required
51926818,src_candidate_required
51926885,src_candidate_required
51928211,src_candidate_required
51929452,control_puzzle
51932869,control_puzzle
51934921,src_candidate_required
51934996,src_candidate_required
51935006,src_candidate_required
51935806,src_candidate_required
51937195,src_candidate_required
51937967,src_candidate_required
51938833,src_candidate_required
51965979,src_candidate_required|src_today200
51976171,src_candidate_required
51977223,control_puzzle
51982548,src_candidate_required
51983611,src_candidate_required
51987640,src_growth200|src_today200
51988321,src_growth200
51988963,src_candidate_required
51991025,src_candidate_required
51991602,src_candidate_required|src_growth200|src_week100
51995177,src_candidate_required
52002291,src_candidate_required
52010899,src_candidate_required
52012414,src_candidate_required
52016391,src_candidate_required|src_growth200|src_today200|src_week100
52017181,src_candidate_required
52025299,src_candidate_required
52046491,control_other
52050213,src_candidate_required
52052723,src_candidate_required
52068361,src_candidate_required
52069052,src_candidate_required
52073543,src_candidate_required
52074986,control_other
52094212,control_puzzle
52094454,src_candidate_required
52102698,src_candidate_required
52108563,control_other
52109677,src_candidate_required
52117775,src_candidate_required
52118525,control_other
52128492,src_candidate_required
52135775,src_candidate_required
52139382,src_candidate_required
52164184,control_other
52172230,src_growth200
52187684,src_candidate_required
52187807,src_candidate_required
52187897,src_growth200
52188174,src_candidate_required
52201870,src_candidate_required
52203018,src_candidate_required
52203029,src_candidate_required
52203281,control_puzzle
52204125,src_candidate_required
52207855,src_candidate_required
52207878,src_candidate_required
52207936,src_candidate_required
52210775,src_candidate_required
52224498,control_puzzle
52232837,src_candidate_required
52232890,src_candidate_required
52238050,src_growth200
52238387,src_candidate_required
52256259,src_growth200
52268687,control_puzzle
52291860,src_candidate_required|src_growth200|src_today200|src_week100
52296751,src_growth200
52302174,src_growth200
52302181,src_candidate_required
52302182,src_candidate_required
52302183,src_candidate_required
52308664,src_candidate_required
52326680,src_candidate_required
52328332,src_candidate_required
52336124,src_candidate_required
52337069,src_candidate_required
52346709,src_candidate_required
52348480,src_candidate_required|src_today200|src_week100
52354294,src_growth200|src_today200
52368582,src_candidate_required|src_growth200|src_today200
52378718,src_candidate_required
52382922,src_candidate_required
52401778,src_candidate_required
52402295,src_candidate_required
52405430,src_candidate_required
52424638,src_candidate_required
52433917,src_candidate_required
52435171,src_candidate_required
52438621,src_candidate_required|src_growth200|src_today200|src_week100
52440823,src_candidate_required
52444576,src_candidate_required
52444661,src_candidate_required
52445291,src_candidate_required
52446922,src_candidate_required
52457961,src_candidate_required
52462690,src_candidate_required
52466775,src_candidate_required
52472375,src_candidate_required
52479294,src_candidate_required|src_week100
52479425,src_candidate_required
52480645,src_candidate_required
52484786,src_candidate_required
52486612,src_candidate_required
52502367,src_candidate_required|src_growth200|src_today200|src_week100
52513041,src_candidate_required
52521607,control_puzzle
52526972,src_candidate_required
52539014,src_candidate_required
52548584,src_growth200
52551065,src_candidate_required
52599192,control_other
52615273,src_candidate_required
52633090,src_candidate_required
52639869,src_candidate_required
52651460,src_candidate_required
52668054,src_candidate_required
52675454,src_candidate_required
52690399,src_growth200|src_today200
52693009,src_candidate_required
52696993,src_candidate_required
52697346,src_candidate_required
52701377,src_candidate_required
52702073,src_candidate_required
52703091,src_candidate_required
52703374,src_candidate_required
52703392,src_candidate_required|src_growth200
52705366,src_candidate_required
52707765,src_candidate_required
52714374,src_candidate_required
52720236,control_other
52733866,src_candidate_required
52739935,src_candidate_required
52740328,src_candidate_required
52740872,src_growth200|src_today200|src_week100
52753042,src_candidate_required
52755162,src_candidate_required
52757813,src_candidate_required
52763208,src_candidate_required
52764694,src_candidate_required|src_today200
52782793,src_candidate_required
52784173,src_candidate_required
52794981,src_today200
52796216,control_puzzle
52796427,src_candidate_required
52796479,src_candidate_required
52796578,src_candidate_required
52799091,src_candidate_required
52803377,src_candidate_required
52803406,src_fresh_puzzle100
52807246,src_growth200
52807612,src_candidate_required
52813474,src_candidate_required
52817449,src_growth200|src_today200
52817450,src_candidate_required
52817454,src_fresh_puzzle100
52817459,control_other
52817619,control_puzzle
52818841,src_candidate_required
52820689,src_candidate_required
52825865,src_candidate_required
52829469,control_puzzle
52846615,src_candidate_required
52846943,src_candidate_required
52846965,control_puzzle
52847586,src_growth200
52847608,src_candidate_required
52847869,control_other
52849144,src_candidate_required
52850855,src_candidate_required
52851197,src_candidate_required
52851428,src_candidate_required
52851783,src_candidate_required
52851920,src_candidate_required
52866541,src_candidate_required
52867171,src_candidate_required
52876409,src_candidate_required|src_fresh_puzzle100
52876412,src_fresh_puzzle100
52876413,src_fresh_puzzle100
52876417,src_candidate_required
52876418,src_candidate_required
52876419,src_candidate_required
52878417,src_candidate_required
52886943,src_candidate_required
52888788,control_puzzle
52893941,src_growth200
52894088,src_candidate_required
52894105,src_candidate_required|src_fresh_puzzle100
52894107,src_candidate_required
52895482,src_candidate_required
52896396,src_candidate_required
52896454,src_candidate_required
52897974,src_candidate_required
52898214,src_candidate_required
52898503,src_candidate_required
52898722,control_puzzle
52899915,src_candidate_required
52900504,src_today200
52901003,src_candidate_required
52901297,src_candidate_required
52904486,src_candidate_required
52912955,src_candidate_required
52913915,src_candidate_required|src_today200
52916427,src_candidate_required
52917333,src_candidate_required
52918288,src_candidate_required
52918306,src_candidate_required
52923170,src_candidate_required
52924131,src_candidate_required
52925299,src_candidate_required
52930493,src_candidate_required
52932142,src_growth200
52936577,src_candidate_required
52937212,src_fresh_puzzle100
52937214,src_candidate_required
52937215,src_candidate_required
52937582,control_other
52941296,src_candidate_required|src_today200
52948317,src_candidate_required
52955347,src_candidate_required
52968883,src_candidate_required
52977265,src_candidate_required|src_fresh_puzzle100
52979805,src_candidate_required
52985007,src_candidate_required
53001208,src_candidate_required
53004664,src_candidate_required
53004800,src_candidate_required
53009998,control_puzzle
53012445,src_candidate_required
53013570,src_candidate_required
53014450,src_growth200
53016679,src_candidate_required
53021580,src_candidate_required
53021720,src_candidate_required
53021757,control_puzzle
53021781,src_growth200
53021792,src_candidate_required
53026505,src_candidate_required
53032843,src_candidate_required
53038500,src_candidate_required
53042807,src_candidate_required
53043180,src_candidate_required
53043222,src_candidate_required
53053956,src_candidate_required
53056123,src_candidate_required
53056922,src_candidate_required
53065901,src_candidate_required
53071590,src_candidate_required
53082679,src_candidate_required
53084307,src_candidate_required
53092945,src_candidate_required
53094709,src_candidate_required
53105070,src_candidate_required
53107756,src_candidate_required
53110303,src_candidate_required
53111918,src_candidate_required
53114451,src_candidate_required
53128417,src_candidate_required
53131314,src_candidate_required
53138411,src_candidate_required
53148435,src_candidate_required
53151763,src_candidate_required
53173186,src_candidate_required
53178685,src_candidate_required
53182009,src_candidate_required
53184846,src_candidate_required
53188277,src_candidate_required
53198099,src_candidate_required
53215173,src_growth200
53217960,control_other
53221653,src_candidate_required
53241718,src_candidate_required
53258749,src_candidate_required
53261501,src_candidate_required
53263334,src_candidate_required
53267140,src_candidate_required
53270258,src_growth200
53293475,src_candidate_required
53298824,src_candidate_required
53300154,src_candidate_required
53307659,src_candidate_required
53308488,src_candidate_required
53308516,src_candidate_required
53321885,src_growth200|src_today200
53329443,src_today200
53334526,src_candidate_required
53339067,src_candidate_required
53343087,control_puzzle
53344562,src_candidate_required
53345921,src_today200
53350179,src_candidate_required
53350181,control_puzzle
53350185,src_candidate_required
53359352,src_candidate_required
53359621,src_candidate_required
53359895,src_candidate_required
53360165,src_candidate_required
53369519,src_candidate_required
53371457,src_candidate_required
53371848,src_candidate_required
53373450,src_today200
53376995,src_candidate_required
53384440,src_growth200|src_week100
53391764,src_candidate_required
53393011,src_candidate_required
53402966,src_candidate_required
53404405,src_candidate_required
53404473,src_candidate_required
53404495,src_candidate_required
53416198,src_candidate_required
53416790,src_candidate_required
53416819,src_candidate_required
53416853,src_candidate_required
53421234,src_candidate_required
53421811,src_candidate_required
53422851,src_candidate_required
53428274,src_fresh_puzzle100
53429374,src_candidate_required
53429574,src_candidate_required
53433009,src_candidate_required
53433964,src_candidate_required
53440351,control_puzzle
53444760,src_candidate_required|src_today200
53444829,src_today200
53447018,src_candidate_required
53448227,src_candidate_required|src_fresh_puzzle100|src_growth200|src_today200
53466657,src_growth200
53473067,src_candidate_required
53475510,src_candidate_required
53477758,src_candidate_required
53478957,src_growth200
53480720,src_candidate_required
53495696,src_candidate_required
53495848,src_candidate_required
53496602,src_candidate_required
53500261,src_candidate_required
53507392,control_other
53512514,src_candidate_required
53514799,control_other
53515711,src_candidate_required
53519106,src_candidate_required
53524315,src_candidate_required
53524888,src_candidate_required
53526998,src_candidate_required
53539879,control_puzzle
53542343,control_puzzle
53542905,src_growth200
53542940,src_growth200
53543089,src_candidate_required|src_today200
53543534,src_candidate_required
53544548,src_candidate_required
53546633,src_candidate_required
53556708,control_puzzle
53557986,src_candidate_required
53565472,src_growth200
53566082,src_candidate_required
53567406,src_candidate_required
53570081,src_candidate_required
53572033,src_today200
53572069,src_candidate_required
53574414,src_candidate_required
53580294,src_candidate_required
53581245,src_candidate_required
53582095,src_candidate_required
53582279,src_candidate_required
53584246,src_candidate_required|src_growth200|src_today200|src_week100
53585935,src_candidate_required
53589973,src_candidate_required
53603592,src_candidate_required
53606447,src_candidate_required
53606774,src_growth200|src_week100
53612890,src_candidate_required
53614048,src_candidate_required
53621326,src_candidate_required
53624698,src_candidate_required
53629016,src_today200
53646156,src_candidate_required
53663472,control_other
53665330,control_other
53666491,src_candidate_required
53666703,src_candidate_required
53681722,src_candidate_required
53682511,src_candidate_required
53685412,src_candidate_required
53695641,src_candidate_required
53699075,src_candidate_required
53713131,src_candidate_required
53715292,control_puzzle
53729818,src_candidate_required
53729819,src_candidate_required
53729822,src_growth200
53742893,src_candidate_required
53750332,src_growth200
53755070,control_other
53759483,src_candidate_required
53761900,control_puzzle
53774010,src_candidate_required
53787314,src_candidate_required
53787377,src_growth200
53788339,src_fresh_puzzle100|src_today200
53791644,src_candidate_required
53801016,control_puzzle
53803962,src_candidate_required
53813365,src_candidate_required
53820780,src_candidate_required
53820806,src_candidate_required
53820888,src_candidate_required
53821626,src_candidate_required
53825510,control_puzzle
53825760,control_other
53825925,src_candidate_required
53834944,src_candidate_required
53835983,src_candidate_required
53843698,src_candidate_required
53863334,src_candidate_required
53867861,src_candidate_required
53870404,src_candidate_required
